Item ID,SR Step,Criteria,PRISMA Description,Concrete Description ,Coding,Minimum Requirement for 1,Condition for 0,Condition for NA,Positive Example,Negative Example,Notes,Essential for Reproducibility,Note Reproducibility,USE for Reproducibility
1,Title & Abstract,Type Identification,Identify the report as a systematic review.,Include type of review in the title to clearly identify the report as a specific review. ,0 or 1,Any review type in the title,No review type mentioned at all,Not Applicable,The Effects of Combined Cognitive-Physical Interventions on Cognitive Functioning in Healthy Older Adults: A Systematic Review and Multilevel Meta-Analysis,The Effects of Combined Cognitive-Physical Interventions on Cognitive Functioning in Healthy Older Adults,,no,,0
2,Title & Abstract,Rationale in Context,Describe the rationale for the review in the context of existing knowledge.,"Describe the rationale in the abstract for the review by outlining the current understanding and existing gaps in knowledge. Justify the need for this new review, especially if similar reviews exist, by explaining why it's necessary. Additionally, describe how the interventions might work, if relevant.",0 or 1,"Describe the rationale for the review by outlining the current understanding and existing gaps in knowledge. Justify the need for this new review, especially if similar reviews exist, by explaining why it's necessary. Additionally, describe how the interventions might work, if relevant.",The background section lacks a summary of existing knowledge and may instead begin directly with the review's aim.,Not Applicable,"Workplaces are an important location for population mental health interventions. Screening to detect employees at risk of or experiencing mental ill health is increasingly common. This systematic review and meta-analysis examined the efficacy of workplace mental health screening programmes on employee mental health, work outcomes, user satisfaction, positive mental health, quality of life, help-seeking and adverse effects.","The aim of this review was to synthesize the evidence on the potential relationship between psychosocial work factors from the Areas of Worklife (AW) model (workload, job control, social support, reward, fairness, and values) and chronic low back pain (CLBP; unspecific pain in the lumbar region lasting 3 months or longer).",,no,,0
3,Title & Abstract,Objectives or Research Questions,Provide an explicit statement of the objective(s) or question(s) the review addresses.,"The review explicitly states its objectives and research questions in the abstract, utilizing frameworks such as PICO.",0 or 1,The objectives clearly define the direction of the review and implicitly outline the key research questions to be addressed.,"Abstract may begin with methods that lack sufficient background or clear objectives, making it unclear what the focus is. Additionally, only a few terms (1-3) related to the topic are mentioned, and the objectives or research questions are not explicitly stated in any part of the abstract.",Not Applicable,Research has shown that both physical exercise and cognitive training help to maintain cognition in older adults. The question is whether combined training might produce additive effects when the group comparisons are equated in terms of exercise intensity and modality.,"We conducted a systematic literature search of studies in Medline, PsycINFO, Web of Science, and CINAHL (1987 to 2018). Three authors independently assessed eligibility and quality of studies. In this metaanalysis, we pooled studies’ effect sizes using a random-effects model approach and report sample size weighted mean Odds Ratios (ORs).",,no,,0
4,Search,Information Sources (Database),"Specify all databases, registers, websites, organisations, reference lists and other sources searched or consulted to identify studies (specify also the name of the platform). Specify the date when each source was last searched or consulted.
Multidatabase search: If databases were searched simultaneously on a single platform, state the name of the platform, listing all of the databases searched.","Specify all sources searched or consulted to identify studies, including databases, registers, websites, organizations, and reference lists, and name the platforms used. Include the date when each source was last accessed. If a multidatabase search was conducted on a single platform, state the platform’s name and list all the databases searched. Database licenses should be provided if applicable.",0 or 1,"All sources are clearly identified, specifying which individueal databases were searched. If a host platform was used, all individual databases searched within that host should be listed, for example: [host name] (database1, database2).","Databases are named but lack clarity, and the license information is missing. Only the host platform is mentioned without specifying the individual databases searched within that host.",Not Applicable,"We queried PubMed on the 17 July 2022. 
- To identify trials, PubMed, PsycINFO (Ovid), EMBASE (Ovid), Cochrane Central Register of Controlled Trials (CENTRAL), Global Index Medicus, Global Health and SciELO were searched from inception to 11 March 2021 using the search terms provided in online supplemental information 1.
- Figure 1: https://pdfs.semanticscholar.org/2149/57fc1b69f08ecb6b64f830a26bf370fc0776.pdf","""[...]five databases (Educational database, ERIC, Scopus and Web of Science)"" -> ""educational database"" does not clearly identify a database, Web of Science is a host
- We queried PubMed and other medical databases
- We queried Web of Science","Hosts: Web of Science, Ovid, ProQuest, EBSCOHost, Fachportal Pädagogik","Yes: List ALL individual databases (Wong & Bouchard, 23), i.e. single database or index, or license, name should be identifiable, name host name and all individual databases searched",definite,1
5,Search,Search Strategy (Full Search String),"Present the full search strategies for all databases, registers and websites, including any filters (e.g., date or time period, language, study design) and limits used, copied and pasted exactly as run. For each search strategy, provide the date when the last search occurred.","Provide the complete search string for all databases, registers, and websites, including any applied filters (e.g., date, language, study design) and limits, exactly as they were executed. Include the date of the last search for each search as well as the full syntax. Typically, this information is presented in the Supplemental Materials section.",0 or 1,The full search string should be written in a manner that facilitates conversion between different databases.,"Only general search terms are provided, with no indication of logical operators like AND or OR. Additionally, the search string is not included in the Supplemental Materials.",Not Applicable,"We queried PubMed on the 17 July 2022. Database searching was updated on 10 November 2022. Here is the string: ((emotion* OR mood* OR happiness OR anger OR fear OR sadness) AND (""risk aversion"" OR ""ambiguity avoidance"" OR “ambiguous decision” OR ""uncertainty tolerance"")) OR ((emotion* OR mood* OR affective OR feeling OR joy* OR happy OR happiness OR anger OR fear OR sadness) AND ""risk taking"" AND (decision OR choice)) ","The search string for both databases combined synonyms for decision-making under risk and uncertainty with emotion-related words. -> not a direct example of a string
",,"Yes: full search string (finally applied) for each source plus search date (Wong & Bouchard, 23)",definite,1
6,Search,Additional Search Methods,"Describe any additional information sources or search methods used (e.g., browsing reference lists, using a citation index, setting up email alerts for references citing included studies, contacting authors, experts, or others).","Additional information sources and search methods used include browsing reference lists, employing citation mining, snowballing, and other bibliometric techniques. Additionally, citation indices were used or contacting authors and experts was also part of the search strategy","na, 0 or 1",Any method besides searching databases were used. Assign 1 only when an additional method exists and it is sufficiently described.,"An additional method was used but has not been described sufficiently for, e.g. missing date or where and how citations were searched","Assign ""Not Applicable"" if no additional sources were applied","- On 11 May 2021, the reference lists of included trials were handsearched, forward citation searching using Google Scholar was conducted, and the first 20 pages of Google Scholar were searched using ‘workplace mental health screening’ to detect any additional studies.
- We also searched the grey literature using the search string: “public attitudes” AND “sharing” AND “health data” on Google (in June 2017). The first 20 results were selected and screened.
- Reference lists of included articles were manually screened to identify additional studies.
- We conducted citation tracking of included studies in Web of Science Core Collection on an ongoing basis, using citation alerts in Web of Science Core Collection.","""To identify eligible studies we queried PubMed and PsycInfo."" ",,"Yes: List all registries, websites, journals searched, and authors contacted (Wong & Bouchard, 23)",might be indefinite/subjectively,1
7,Search,Search Peer Review Process,Describe any search peer review process.,"- Describe the peer review process for developing the search queries, including the methodology used and the individuals involved in reviewing and approving the queries.",0 or 1,No details on who reviewed and approved the development of the search queries,The description lacks information on the decision-making process used to construct the search queries and only provides a list of search criteria and keywords without explaining how these were selected or formulated.,Not Applicable,"- The strategies were peer reviewed by another senior information specialist prior to execution using the PRESS Checklist.
- Complementary search strategies comprised hand citation and searching the author’s own files, as well as consulting with two colleagues and a specialist subject librarian for additional relevant papers.
- As suggested by the authors of a similar study X, we adapted the search string.","The systematic literature search included the following databases: Medline (Pubmed), PsycINFO, Web of Science, and CINAHL. The search strategy was applied to all databases.",,no as dataset is not changing,,0
8,Search,Total Records,Document the total number of records identified from each database and other information sources.,Document the total number of records identified from each database and other information sources. Report the number of records separately for each source if multiple sources were used.,0 or 1,"Report the total number of records identified from each database and other information sources, specifying the count for each individual source if multiple were used. Include this information in a PRISMA chart,","The total number of records is not available, and the PRISMA chart is not provided.",Not Applicable,"After the removal of  123 duplicates, the literature search yielded a total of 13,232 records (see PRISMA chart).",,,"Yes: total records for each search phase (Wong & Bouchard, 23)",definite,1
9,Search,Deduplication Count,,Report the number of duplicates,0 or 1, Report the number of duplicates or use PRISMA chart.,"The total number of duplicates is not available, and the PRISMA chart is not provided.",Not Applicable,"After the removal of  123 duplicates, the literature search yielded a total of 13,232 records (see PRISMA chart).","The literature search yielded a total of 13,232 records.","Split into more concrete sub-criteria:
- Count
- Process/Method",Yes: list records deduplicated,definite,1
10,Search,Deduplication Process / Method,Describe the processes and any software used to deduplicate records from multiple database searches and other information sources.,"Describe the deduplication process, including the software utilized and the criteria applied (such as DOI, title, etc.) for removing duplicate records from various database searches and other information sources.",0 or 1,"Specify the software or tool used for deduplication. If the process was performed manually, describe the criteria used for identifying and removing duplicates.",There is no mention of the deduplication tool or the criteria used.,Not Applicable,"- Deduplicated based on DOI with Zotero.
- The MEDLINE and Embase strategies were run simultaneously as a multi-file search in Ovid and the results de-duplicated using the Ovid de-duplication tool.
- Duplicates were removed by the librarians (LP, PJE), using EndNote's duplicate identification strategy and then manually.","only PRISMA chart deduplication count.

After the pre-screening process, some actions have been taken to prevent the same article from being displayed multiple times (duplicate screening). ",,Yes: describe deduplication method,indefinite/subjectively,1
